Adsorbate Tag,Loading,Replica,Boltzmann_Weights
H2S,4,1,0.086157775
H2S,4,2,0.044752488
H2S,4,3,0.116338828
H2S,4,4,0.152803511
H2S,4,5,0.078515317
H2S,4,6,0.093790546
H2S,4,7,0.106329823
H2S,4,8,0.097222816
H2S,4,9,0.100272582
H2S,4,10,0.123816313
H2S,5,1,0.106736724
H2S,5,2,0.095926564
H2S,5,3,0.089022353
H2S,5,4,0.081344001
H2S,5,5,0.118414884
H2S,5,6,0.05972679
H2S,5,7,0.122799742
H2S,5,8,0.092690214
H2S,5,9,0.06014391
H2S,5,10,0.173194818
H2S,6,1,0.119069199
H2S,6,2,0.080824787
H2S,6,3,0.134864637
H2S,6,4,0.048519511
H2S,6,5,0.046457579
H2S,6,6,0.154311392
H2S,6,7,0.137459889
H2S,6,8,0.088077001
H2S,6,9,0.100225829
H2S,6,10,0.090190177
H2S_Field,1,1,0.101309101
H2S_Field,1,2,0.127387336
H2S_Field,1,3,0.079740234
H2S_Field,1,4,0.097134854
H2S_Field,1,5,0.10144604
H2S_Field,1,6,0.08028912
H2S_Field,1,7,0.090025697
H2S_Field,1,8,0.102240755
H2S_Field,1,9,0.11401935
H2S_Field,1,10,0.106407512
H2S_Field,2,1,0.083372969
H2S_Field,2,2,0.083100608
H2S_Field,2,3,0.115930146
H2S_Field,2,4,0.135395969
H2S_Field,2,5,0.071792464
H2S_Field,2,6,0.065037208
H2S_Field,2,7,0.15138498
H2S_Field,2,8,0.130994722
H2S_Field,2,9,0.064563116
H2S_Field,2,10,0.098427816
H2S_Field,3,1,0.09376091
H2S_Field,3,2,0.114477145
H2S_Field,3,3,0.130680347
H2S_Field,3,4,0.073986004
H2S_Field,3,5,0.091780822
H2S_Field,3,6,0.121417656
H2S_Field,3,7,0.089216718
H2S_Field,3,8,0.095966945
H2S_Field,3,9,0.078626028
H2S_Field,3,10,0.110087425
H2S_Field,4,1,0.066413759
H2S_Field,4,2,0.118646002
H2S_Field,4,3,0.08289655
H2S_Field,4,4,0.145429673
H2S_Field,4,5,0.075185682
H2S_Field,4,6,0.083442305
H2S_Field,4,7,0.195881596
H2S_Field,4,8,0.064208589
H2S_Field,4,9,0.072177118
H2S_Field,4,10,0.095718727
H2S_Field,5,1,0.099492804
H2S_Field,5,2,0.050810043
H2S_Field,5,3,0.086518791
H2S_Field,5,4,0.098259091
H2S_Field,5,5,0.068176581
H2S_Field,5,6,0.114272801
H2S_Field,5,7,0.054423356
H2S_Field,5,8,0.147115527
H2S_Field,5,9,0.077591116
H2S_Field,5,10,0.203339891
H2S_Field,6,1,0.076504981
H2S_Field,6,2,0.107007203
H2S_Field,6,3,0.088602031
H2S_Field,6,4,0.167816449
H2S_Field,6,5,0.117152838
H2S_Field,6,6,0.105063133
H2S_Field,6,7,0.052063973
H2S_Field,6,8,0.084625707
H2S_Field,6,9,0.11789955
H2S_Field,6,10,0.083264136
NH3,1,1,0.109896367
NH3,1,2,0.117929114
NH3,1,3,0.078836195
NH3,1,4,0.096653236
NH3,1,5,0.119096279
NH3,1,6,0.117706818
NH3,1,7,0.084865764
NH3,1,8,0.08244686
NH3,1,9,0.107212145
NH3,1,10,0.085357221
NH3,2,1,0.105797916
NH3,2,2,0.10159942
NH3,2,3,0.085039219
NH3,2,4,0.095201404
NH3,2,5,0.093874566
NH3,2,6,0.093846111
NH3,2,7,0.118305174
NH3,2,8,0.105415514
NH3,2,9,0.075819924
NH3,2,10,0.125100753
NH3,3,1,0.104138956
NH3,3,2,0.098643972
NH3,3,3,0.091791392
NH3,3,4,0.098639546
NH3,3,5,0.117365928
NH3,3,6,0.083410908
NH3,3,7,0.125108454
NH3,3,8,0.104680109
NH3,3,9,0.061099857
NH3,3,10,0.115120879
NH3,4,1,0.137710412
NH3,4,2,0.109276142
NH3,4,3,0.124205387
NH3,4,4,0.134766774
NH3,4,5,0.071625275
NH3,4,6,0.112294124
NH3,4,7,0.064912783
NH3,4,8,0.075852954
NH3,4,9,0.09098826
NH3,4,10,0.07836789
NH3,5,1,0.049505299
NH3,5,2,0.075011262
NH3,5,3,0.087219354
NH3,5,4,0.0734384
NH3,5,5,0.120932851
NH3,5,6,0.168386242
NH3,5,7,0.138505416
NH3,5,8,0.071239155
NH3,5,9,0.113366679
NH3,5,10,0.102395342
NH3,6,1,0.119860133
NH3,6,2,0.130225202
NH3,6,3,0.07749536
NH3,6,4,0.083933526
NH3,6,5,0.127030685
NH3,6,6,0.086133497
NH3,6,7,0.106934902
NH3,6,8,0.093447603
NH3,6,9,0.078653505
NH3,6,10,0.096285588
NH3_Field,1,1,0.094919728
NH3_Field,1,2,0.110171451
NH3_Field,1,3,0.07697258
NH3_Field,1,4,0.1137253
NH3_Field,1,5,0.102105312
NH3_Field,1,6,0.093445045
NH3_Field,1,7,0.08324759
NH3_Field,1,8,0.114930621
NH3_Field,1,9,0.104900055
NH3_Field,1,10,0.105582317
NH3_Field,2,1,0.057778371
NH3_Field,2,2,0.11599285
NH3_Field,2,3,0.097025841
NH3_Field,2,4,0.123781173
NH3_Field,2,5,0.090716919
NH3_Field,2,6,0.12546185
NH3_Field,2,7,0.098574561
NH3_Field,2,8,0.077621714
NH3_Field,2,9,0.094749423
NH3_Field,2,10,0.1182973
NH3_Field,3,1,0.131320448
NH3_Field,3,2,0.073717056
NH3_Field,3,3,0.080729093
NH3_Field,3,4,0.104972515
NH3_Field,3,5,0.064200097
NH3_Field,3,6,0.079548676
NH3_Field,3,7,0.126347575
NH3_Field,3,8,0.134245387
NH3_Field,3,9,0.124039577
NH3_Field,3,10,0.080879577
NH3_Field,4,1,0.093369654
NH3_Field,4,2,0.070723422
NH3_Field,4,3,0.055363624
NH3_Field,4,4,0.073526204
NH3_Field,4,5,0.100380582
NH3_Field,4,6,0.128957032
NH3_Field,4,7,0.101326399
NH3_Field,4,8,0.145538287
NH3_Field,4,9,0.144659865
NH3_Field,4,10,0.08615493
NH3_Field,5,1,0.087236446
NH3_Field,5,2,0.120734867
NH3_Field,5,3,0.124700414
NH3_Field,5,4,0.090727849
NH3_Field,5,5,0.080021032
NH3_Field,5,6,0.109791884
NH3_Field,5,7,0.100752498
NH3_Field,5,8,0.127550188
NH3_Field,5,9,0.080207634
NH3_Field,5,10,0.078277188
NH3_Field,6,1,0.109562502
NH3_Field,6,2,0.084237009
NH3_Field,6,3,0.104371158
NH3_Field,6,4,0.067883097
NH3_Field,6,5,0.066214613
NH3_Field,6,6,0.171583232
NH3_Field,6,7,0.109252395
NH3_Field,6,8,0.130196278
NH3_Field,6,9,0.087029763
NH3_Field,6,10,0.069669952
